,agent,opponent
848,446,404
849,447,404
850,447,405
851,447,406
852,447,407
853,448,407
854,449,407
855,449,408
856,449,409
857,449,410
858,450,410
859,451,410
860,451,411
861,452,411
862,453,411
863,454,411
864,454,412
865,454,413
866,455,413
867,455,414
868,456,414
869,457,414
870,458,414
871,459,414
872,459,415
873,459,416
874,459,417
875,460,417
876,460,418
877,460,419
878,460,420
879,461,420
880,461,421
881,462,421
882,462,422
883,463,422
884,464,422
885,465,422
886,466,422
887,466,423
888,467,423
889,468,423
890,468,424
891,469,424
892,470,424
893,471,424
894,471,425
895,472,425
896,472,426
897,473,426
898,474,426
899,475,426
900,476,426
901,477,426
902,477,427
903,477,428
904,478,428
905,478,429
906,479,429
907,479,430
908,479,431
909,480,431
910,480,432
911,481,432
912,482,432
913,482,433
914,482,434
915,482,435
916,482,436
917,482,437
918,483,437
919,483,438
920,484,438
921,485,438
922,485,439
923,485,440
924,485,441
925,485,442
926,486,442
927,486,443
928,487,443
929,487,444
930,487,445
931,488,445
932,489,445
933,489,446
934,490,446
935,490,447
936,491,447
937,492,447
938,492,448
939,492,449
940,492,450
941,492,451
942,493,451
943,494,451
944,494,452
945,494,453
946,495,453
947,496,453
948,497,453
949,498,453
950,498,454
951,498,455
952,499,455
953,500,455
954,501,455
955,502,455
956,503,455
957,504,455
958,505,455
959,506,455
960,507,455
961,508,455
962,509,455
963,510,455
964,510,456
965,511,456
966,512,456
967,513,456
968,514,456
969,514,457
970,515,457
971,516,457
972,517,457
973,518,457
974,518,458
975,518,459
976,518,460
977,519,460
978,520,460
979,520,461
980,520,462
981,521,462
982,521,463
983,522,463
984,523,463
985,524,463
986,525,463
987,525,464
988,526,464
989,526,465
990,527,465
991,528,465
992,529,465
993,530,465
994,530,466
995,531,466
996,532,466
997,532,467
998,532,468
999,533,468
1000,534,468
1001,535,468
1002,536,468
1003,537,468
1004,537,469
1005,537,470
1006,538,470
1007,539,470
1008,539,471
1009,540,471
1010,540,472
1011,541,472
1012,542,472
1013,542,473
1014,543,473
1015,543,474
1016,544,474
1017,545,474
1018,546,474
1019,547,474
1020,548,474
1021,549,474
1022,550,474
1023,551,474
1024,552,474
1025,552,475
1026,552,476
1027,553,476
1028,554,476
1029,555,476
1030,556,476
1031,557,476
1032,557,477
1033,557,478
1034,558,478
1035,559,478
